The matrix U having left singular vectors is:
[matrix size: 60x3; n_nonzero: 180; density: 100.00%]

   (116, 0)         0.0615
   (117, 0)         0.0127
   (118, 0)        -0.0801
   (119, 0)         0.0713
     (0, 1)        -0.0668
     (1, 1)         0.0312
     (2, 1)         0.0569
     (3, 1)        -0.0771
     (4, 1)         0.0258
     (5, 1)         0.0567
     (6, 1)        -0.0387
     (7, 1)         0.0330
     (8, 1)         0.0570
     (9, 1)        -0.0941
    (10, 1)         0.0309
    (11, 1)         0.0529
    (12, 1)        -0.0832
    (13, 1)         0.0335
    (14, 1)         0.0562
    (15, 1)        -0.0769
    (16, 1)         0.0330
    (17, 1)         0.0569
    (18, 1)        -0.0919
    (19, 1)         0.0344
    (20, 1)         0.0461
    (21, 1)        -0.0784
    (22, 1)         0.0327
    (23, 1)         0.0546
    (24, 1)        -0.0867
    (25, 1)         0.0336
    (26, 1)         0.0539
    (27, 1)        -0.0885
    (28, 1)         0.0314
    (29, 1)         0.0578
    (30, 1)        -0.0805
    (31, 1)         0.0281
    (32, 1)         0.0564
    (33, 1)        -0.0759
    (34, 1)         0.0261
    (35, 1)         0.0528
    (36, 1)        -0.0891
    (37, 1)         0.0346
    (38, 1)         0.0592
    (39, 1)        -0.0754
    (40, 1)         0.0354
    (41, 1)         0.0530
    (42, 1)        -0.0703
    (43, 1)         0.0348
    (44, 1)         0.0410
    (45, 1)        -0.0856
    (46, 1)         0.0289
    (47, 1)         0.0467
    (48, 1)        -0.0855
    (49, 1)         0.0344
    (50, 1)         0.0532
    (51, 1)        -0.0866
    (52, 1)         0.0323
    (53, 1)         0.0541
    (54, 1)        -0.0823
    (55, 1)         0.0308
    (56, 1)         0.0527
    (57, 1)        -0.0883
    (58, 1)         0.0225
    (59, 1)         0.0553
    (60, 1)        -0.0916
    (61, 1)         0.0338
    (62, 1)         0.0583
    (63, 1)        -0.0885
    (64, 1)         0.0333
    (65, 1)         0.0361
    (66, 1)        -0.0853
    (67, 1)         0.0317
    (68, 1)         0.0506
    (69, 1)        -0.0783
    (70, 1)         0.0221
    (71, 1)         0.0566
    (72, 1)        -0.0615
    (73, 1)         0.0255
    (74, 1)         0.0482
    (75, 1)        -0.0695
    (76, 1)         0.0325
    (77, 1)         0.0562
    (78, 1)        -0.0935
    (79, 1)         0.0337
    (80, 1)         0.0559
    (81, 1)        -0.0731
    (82, 1)         0.0329
    (83, 1)         0.0537
    (84, 1)        -0.0780
    (85, 1)         0.0332
    (86, 1)         0.0518
    (87, 1)        -0.0826
    (88, 1)         0.0343
    (89, 1)         0.0586
    (90, 1)        -0.0882
    (91, 1)         0.0346
    (92, 1)         0.0505
    (93, 1)        -0.0777
    (94, 1)         0.0151
    (95, 1)         0.0515
    (96, 1)        -0.0850
    (97, 1)         0.0345
    (98, 1)         0.0576
    (99, 1)        -0.0835
   (100, 1)         0.0282
   (101, 1)         0.0555
   (102, 1)        -0.0782
   (103, 1)         0.0328
   (104, 1)         0.0486
   (105, 1)        -0.0806
   (106, 1)         0.0206
   (107, 1)         0.0559
   (108, 1)        -0.0857
   (109, 1)         0.0312
   (110, 1)         0.0570
   (111, 1)        -0.0879
   (112, 1)         0.0200
   (113, 1)         0.0571
   (114, 1)        -0.0737
   (115, 1)         0.0339
   (116, 1)         0.0561
   (117, 1)        -0.0881
   (118, 1)         0.0320
   (119, 1)         0.0568


